LOGGING STARTED
robot_main , [MAIN_LOOP] 567993632583 | kalman_calibration | [3.5283488797369102,-0.01332052738414592]
robot_main , [MAIN_LOOP] 567993632637 | robot_frequency | [4134.288627661669,8,220.0]
robot_main , [CONTROLLER] 567993632637 | speed_controller | [0.0,0.0,0.0,0.0]
robot_main , [CONTROLLER] 567993632637 | stability_controller | [0.0,455.0928343818821,-6907.39707947622]
robot_main , [MAIN_LOOP] 567993632690 | robot_frequency | [2143.8968565330715,16,220.0]
robot_main , [CONTROLLER] 567993632690 | speed_controller | [0.0,0.0,0.0,0.0]
robot_main , [CONTROLLER] 567993632690 | stability_controller | [0.0,452.2811596866073,-6953.275352272879]
robot_main , [MAIN_LOOP] 567993632742 | robot_frequency | [1480.4362523246525,24,220.0]
robot_main , [CONTROLLER] 567993632742 | speed_controller | [0.0,0.0,0.0,0.0]
robot_main , [CONTROLLER] 567993632742 | stability_controller | [0.0,449.5373231520886,-6573.075329658853]
robot_main , [MAIN_LOOP] 567993632794 | robot_frequency | [1148.4920439551765,32,220.0]
robot_main , [CONTROLLER] 567993632794 | speed_controller | [0.0,0.0,0.0,-9.990907710744068e-5]
robot_main , [CONTROLLER] 567993632794 | stability_controller | [-9.990907710744068e-5,446.8243075123827,-6962.9492740439]
robot_main , [MAIN_LOOP] 567993632847 | robot_frequency | [949.3083054321903,40,220.0]
robot_main , [CONTROLLER] 567993632847 | speed_controller | [0.0,0.0,0.0,-0.006297178667678963]
robot_main , [CONTROLLER] 567993632847 | stability_controller | [-0.006297178667678963,444.1392961884131,-6659.031148197401]
robot_main , [MAIN_LOOP] 567993632899 | robot_frequency | [816.6744938098094,48,220.0]
robot_main , [CONTROLLER] 567993632899 | speed_controller | [0.0,0.0,0.0,-0.011654728275432716]
robot_main , [CONTROLLER] 567993632899 | stability_controller | [-0.011654728275432716,441.5107015965667,-6828.774425796914]
robot_main , [MAIN_LOOP] 567993632951 | robot_frequency | [721.8914767835969,56,220.0]
robot_main , [CONTROLLER] 567993632951 | speed_controller | [0.0,0.0,0.0,-0.01159392998889234]
robot_main , [CONTROLLER] 567993632951 | stability_controller | [-0.01159392998889234,438.9366297064438,-6651.782378589428]
robot_main , [MAIN_LOOP] 567993633003 | robot_frequency | [650.8315761150889,64,220.0]
robot_main , [CONTROLLER] 567993633003 | speed_controller | [0.0,0.0,0.0,-0.01159392998889234]
robot_main , [CONTROLLER] 567993633003 | stability_controller | [-0.01159392998889234,436.40211612734504,-6809.393121167632]
robot_main , [MAIN_LOOP] 567993633055 | robot_frequency | [595.5537829008268,72,220.0]
robot_main , [CONTROLLER] 567993633055 | speed_controller | [0.0,0.0,-20.03125,-1.291356132549794]
robot_main , [CONTROLLER] 567993633055 | stability_controller | [-1.291356132549794,433.90692878694466,-8134.658633427292]
robot_main , [MAIN_LOOP] 567993633107 | robot_frequency | [551.336892879373,80,220.0]
robot_main , [CONTROLLER] 567993633107 | speed_controller | [0.0,0.0,0.0,-0.019371757549793985]
robot_main , [CONTROLLER] 567993633107 | stability_controller | [-0.019371757549793985,431.45968531484795,-6659.387529683394]
robot_main , [MAIN_LOOP] 567993633160 | robot_frequency | [515.1133469419908,88,220.0]
robot_main , [CONTROLLER] 567993633160 | speed_controller | [0.0,0.0,0.0,-0.019371757549793985]
robot_main , [CONTROLLER] 567993633160 | stability_controller | [-0.019371757549793985,428.9841308279228,-6621.916324345762]
robot_main , [MAIN_LOOP] 567993633212 | robot_frequency | [484.93411789102265,96,220.0]
robot_main , [CONTROLLER] 567993633212 | speed_controller | [0.0,0.0,0.0,-0.019371757549793985]
robot_main , [CONTROLLER] 567993633212 | stability_controller | [-0.019371757549793985,426.4888756366663,-6251.809797861935]
robot_main , [MAIN_LOOP] 567993633264 | robot_frequency | [153.4783082218039,3,471.6234886916395]
robot_main , [CONTROLLER] 567993633264 | speed_controller | [0.0,0.0,0.0,-0.019371757549793985]
robot_main , [CONTROLLER] 567993633264 | stability_controller | [-0.019371757549793985,424.0168295171077,-6282.092600730023]
robot_main , [MAIN_LOOP] 567993633317 | robot_frequency | [153.1201295344928,11,471.6234886916395]
robot_main , [CONTROLLER] 567993633317 | speed_controller | [0.0,0.0,0.0,-0.019371757549793985]
robot_main , [CONTROLLER] 567993633317 | stability_controller | [-0.019371757549793985,421.5856876423638,-6516.593077483267]
robot_main , [MAIN_LOOP] 567993633369 | robot_frequency | [153.2564751691776,19,471.6234886916395]
robot_main , [CONTROLLER] 567993633369 | speed_controller | [0.0,0.0,0.0,-0.019371757549793985]
robot_main , [CONTROLLER] 567993633369 | stability_controller | [-0.019371757549793985,419.19973136311035,-6479.393669892878]
robot_main , [MAIN_LOOP] 567993633421 | robot_frequency | [153.23632663761597,27,471.6234886916395]
robot_main , [CONTROLLER] 567993633421 | speed_controller | [0.0,0.0,0.0,-0.019371757549793985]
