LOGGING STARTED
robot_main , [MAIN_LOOP] 567993629779 | kalman_calibration | [-33.04723633440943,2.4098633646912434e-4]
robot_main , [MAIN_LOOP] 567993629832 | robot_frequency | [3880.409133899503,11,220.0]
robot_main , [CONTROLLER] 567993629832 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993629832 | stability_controller | [-0.7949480429748023,-91.44719438937052,1478.513326257036]
robot_main , [MAIN_LOOP] 567993629883 | robot_frequency | [2046.3532890377005,22,220.0]
robot_main , [CONTROLLER] 567993629883 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993629883 | stability_controller | [-0.7949480429748023,-91.44319576701812,1476.070735966213]
robot_main , [MAIN_LOOP] 567993629936 | robot_frequency | [1434.5302522905522,33,220.0]
robot_main , [CONTROLLER] 567993629936 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993629936 | stability_controller | [-0.7949480429748023,-91.43532177317319,1476.0518606410376]
robot_main , [MAIN_LOOP] 567993629987 | robot_frequency | [1129.4328875470162,44,220.0]
robot_main , [CONTROLLER] 567993629987 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993629987 | stability_controller | [-0.7949480429748023,-91.42639097998904,1476.4093214949003]
robot_main , [MAIN_LOOP] 567993630039 | robot_frequency | [945.9948060457102,55,220.0]
robot_main , [CONTROLLER] 567993630039 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630039 | stability_controller | [-0.7949480429748023,-91.41505503959114,1475.5992621260693]
robot_main , [MAIN_LOOP] 567993630091 | robot_frequency | [823.7449636371523,66,220.0]
robot_main , [CONTROLLER] 567993630091 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630091 | stability_controller | [-0.7949480429748023,-91.40106931525017,1470.7305643420884]
robot_main , [MAIN_LOOP] 567993630142 | robot_frequency | [736.6135117244995,77,220.0]
robot_main , [CONTROLLER] 567993630142 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630142 | stability_controller | [-0.7949480429748023,-91.38452318099237,1474.2353912596172]
robot_main , [MAIN_LOOP] 567993630194 | robot_frequency | [671.3685529141331,88,220.0]
robot_main , [CONTROLLER] 567993630194 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630194 | stability_controller | [-0.7949480429748023,-91.36503124814506,1472.0854819856677]
robot_main , [MAIN_LOOP] 567993630246 | robot_frequency | [620.3929096298701,99,220.0]
robot_main , [CONTROLLER] 567993630246 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630246 | stability_controller | [-0.7949480429748023,-91.34502324741011,1469.8830987496976]
robot_main , [MAIN_LOOP] 567993630297 | robot_frequency | [215.48369750355334,9,616.3112053464001]
robot_main , [CONTROLLER] 567993630297 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630297 | stability_controller | [-0.7949480429748023,-91.32228368595352,1472.5227154762395]
robot_main , [MAIN_LOOP] 567993630348 | robot_frequency | [214.21913228950945,20,616.3112053464001]
robot_main , [CONTROLLER] 567993630348 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630348 | stability_controller | [-0.7949480429748023,-91.29629800654887,1468.8182549220762]
robot_main , [MAIN_LOOP] 567993630400 | robot_frequency | [214.6627638842935,31,616.3112053464001]
robot_main , [CONTROLLER] 567993630400 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630400 | stability_controller | [-0.7949480429748023,-91.26882120919183,1467.9490096955985]
robot_main , [MAIN_LOOP] 567993630451 | robot_frequency | [214.24684237446286,42,616.3112053464001]
robot_main , [CONTROLLER] 567993630451 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630451 | stability_controller | [-0.7949480429748023,-91.24108234530236,1470.7563730205095]
robot_main , [MAIN_LOOP] 567993630503 | robot_frequency | [214.10558901468588,53,616.3112053464001]
robot_main , [CONTROLLER] 567993630503 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630503 | stability_controller | [-0.7949480429748023,-91.20858342443856,1460.6919974329]
robot_main , [MAIN_LOOP] 567993630554 | robot_frequency | [214.48491322892258,64,616.3112053464001]
robot_main , [CONTROLLER] 567993630554 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630554 | stability_controller | [-0.7949480429748023,-91.1754966162087,1462.251608729377]
robot_main , [MAIN_LOOP] 567993630605 | robot_frequency | [214.37534766590107,75,616.3112053464001]
robot_main , [CONTROLLER] 567993630605 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630605 | stability_controller | [-0.7949480429748023,-91.14177968762677,1468.0111201904758]
robot_main , [MAIN_LOOP] 567993630657 | robot_frequency | [214.27406505484552,86,616.3112053464001]
robot_main , [CONTROLLER] 567993630657 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630657 | stability_controller | [-0.7949480429748023,-91.1015134155743,1458.1233060195718]
robot_main , [MAIN_LOOP] 567993630708 | robot_frequency | [214.46234879661034,97,616.3112053464001]
robot_main , [CONTROLLER] 567993630708 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630708 | stability_controller | [-0.7949480429748023,-91.06110315387726,1459.484278220533]
robot_main , [MAIN_LOOP] 567993630758 | robot_frequency | [216.7956411796144,7,214.4999303226442]
robot_main , [CONTROLLER] 567993630758 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630758 | stability_controller | [-0.7949480429748023,-91.01751892152966,1465.7023070097623]
robot_main , [MAIN_LOOP] 567993630810 | robot_frequency | [214.29133260749907,18,214.4999303226442]
robot_main , [CONTROLLER] 567993630810 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630810 | stability_controller | [-0.7949480429748023,-90.97083967945154,1458.7260109155438]
robot_main , [MAIN_LOOP] 567993630861 | robot_frequency | [214.75956396265528,29,214.4999303226442]
robot_main , [CONTROLLER] 567993630861 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630861 | stability_controller | [-0.7949480429748023,-90.92500042255452,1454.2739752919156]
robot_main , [MAIN_LOOP] 567993630912 | robot_frequency | [215.33584179324197,40,214.4999303226442]
robot_main , [CONTROLLER] 567993630912 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630912 | stability_controller | [-0.7949480429748023,-90.89313449606705,1469.2260452869634]
robot_main , [MAIN_LOOP] 567993630963 | robot_frequency | [215.71366535983762,51,214.4999303226442]
robot_main , [CONTROLLER] 567993630963 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993630963 | stability_controller | [-0.7949480429748023,-90.8402452686093,1344.3683849614756]
robot_main , [MAIN_LOOP] 567993631013 | robot_frequency | [215.90658604484827,62,214.4999303226442]
robot_main , [CONTROLLER] 567993631013 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631013 | stability_controller | [-0.7949480429748023,-90.79945073188848,1494.112342550702]
robot_main , [MAIN_LOOP] 567993631064 | robot_frequency | [215.95040081243235,73,214.4999303226442]
robot_main , [CONTROLLER] 567993631064 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631064 | stability_controller | [-0.7949480429748023,-90.67056565272175,1273.062546582918]
robot_main , [MAIN_LOOP] 567993631115 | robot_frequency | [215.92566591531474,84,214.4999303226442]
robot_main , [CONTROLLER] 567993631115 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631115 | stability_controller | [-0.7949480429748023,-90.57597748452226,1490.9538024637745]
robot_main , [MAIN_LOOP] 567993631166 | robot_frequency | [216.0870442229093,95,214.4999303226442]
robot_main , [CONTROLLER] 567993631166 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631166 | stability_controller | [-0.7949480429748023,-90.37775222255902,1459.1576382396115]
robot_main , [MAIN_LOOP] 567993631216 | robot_frequency | [216.9160613306736,5,216.14460221903335]
robot_main , [CONTROLLER] 567993631216 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631216 | stability_controller | [-0.7949480429748023,-90.16768311908895,1198.5877175462367]
robot_main , [MAIN_LOOP] 567993631267 | robot_frequency | [216.939623312658,16,216.14460221903335]
robot_main , [CONTROLLER] 567993631267 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631267 | stability_controller | [-0.7949480429748023,-89.9800384240674,1453.0192177945298]
robot_main , [MAIN_LOOP] 567993631318 | robot_frequency | [216.86648368901845,27,216.14460221903335]
robot_main , [CONTROLLER] 567993631318 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631318 | stability_controller | [-0.7949480429748023,-89.70084792301141,1129.8336579608354]
robot_main , [MAIN_LOOP] 567993631369 | robot_frequency | [216.75756339122117,38,216.14460221903335]
robot_main , [CONTROLLER] 567993631369 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631369 | stability_controller | [-0.7949480429748023,-89.49708108153156,1474.88795210202]
robot_main , [MAIN_LOOP] 567993631419 | robot_frequency | [216.86282493887774,49,216.14460221903335]
robot_main , [CONTROLLER] 567993631419 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631419 | stability_controller | [-0.7949480429748023,-89.150471251228,1440.4860332736005]
robot_main , [MAIN_LOOP] 567993631471 | robot_frequency | [216.56795531406442,60,216.14460221903335]
robot_main , [CONTROLLER] 567993631471 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631471 | stability_controller | [-0.7949480429748023,-88.79311288100367,1057.9348119309552]
robot_main , [MAIN_LOOP] 567993631521 | robot_frequency | [216.68291182200915,71,216.14460221903335]
robot_main , [CONTROLLER] 567993631521 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631521 | stability_controller | [-0.7949480429748023,-88.52987218900273,1458.037396232551]
robot_main , [MAIN_LOOP] 567993631572 | robot_frequency | [216.70250974845308,82,216.14460221903335]
robot_main , [CONTROLLER] 567993631572 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631572 | stability_controller | [-0.7949480429748023,-88.10793539481706,1423.1593116072322]
robot_main , [MAIN_LOOP] 567993631623 | robot_frequency | [216.76555130570677,93,216.14460221903335]
robot_main , [CONTROLLER] 567993631623 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631623 | stability_controller | [-0.7949480429748023,-87.85278112512914,1563.6436451000338]
robot_main , [MAIN_LOOP] 567993631673 | robot_frequency | [217.27737293179698,3,216.7876011088494]
robot_main , [CONTROLLER] 567993631673 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631673 | stability_controller | [-0.7949480429748023,-87.33819692400849,1411.287044145383]
robot_main , [MAIN_LOOP] 567993631724 | robot_frequency | [217.1483834529966,14,216.7876011088494]
robot_main , [CONTROLLER] 567993631724 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631724 | stability_controller | [-0.7949480429748023,-86.85668880056524,920.7914423926507]
robot_main , [MAIN_LOOP] 567993631775 | robot_frequency | [216.74942770780518,25,216.7876011088494]
robot_main , [CONTROLLER] 567993631775 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631775 | stability_controller | [-0.7949480429748023,-86.5002465682778,1427.623024404679]
robot_main , [MAIN_LOOP] 567993631825 | robot_frequency | [216.90441892593537,36,216.7876011088494]
robot_main , [CONTROLLER] 567993631825 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631825 | stability_controller | [-0.7949480429748023,-85.96316394157328,1389.4837171081717]
robot_main , [MAIN_LOOP] 567993631876 | robot_frequency | [216.86125039884993,47,216.7876011088494]
robot_main , [CONTROLLER] 567993631876 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631876 | stability_controller | [-0.7949480429748023,-85.57110337126419,1411.8628191741318]
robot_main , [MAIN_LOOP] 567993631927 | robot_frequency | [216.94038401942575,58,216.7876011088494]
robot_main , [CONTROLLER] 567993631927 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631927 | stability_controller | [-0.7949480429748023,-84.98625282090981,1372.5236952673456]
robot_main , [MAIN_LOOP] 567993631977 | robot_frequency | [216.99855094895847,69,216.7876011088494]
robot_main , [CONTROLLER] 567993631977 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993631977 | stability_controller | [-0.7949480429748023,-84.56628338967938,1395.8699670235378]
robot_main , [MAIN_LOOP] 567993632028 | robot_frequency | [217.01672884460487,80,216.7876011088494]
robot_main , [CONTROLLER] 567993632028 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993632028 | stability_controller | [-0.7949480429748023,-83.94122055368999,1356.8877747785693]
robot_main , [MAIN_LOOP] 567993632079 | robot_frequency | [216.90892111322592,91,216.7876011088494]
robot_main , [CONTROLLER] 567993632079 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993632079 | stability_controller | [-0.7949480429748023,-83.31718756100999,664.7754388437612]
robot_main , [MAIN_LOOP] 567993632130 | robot_frequency | [217.28290276377913,1,216.8261822064218]
robot_main , [CONTROLLER] 567993632130 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993632130 | stability_controller | [-0.7949480429748023,-82.86089393094841,1368.3948423687514]
robot_main , [MAIN_LOOP] 567993632181 | robot_frequency | [216.38671043060697,12,216.8261822064218]
robot_main , [CONTROLLER] 567993632181 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993632181 | stability_controller | [-0.7949480429748023,-82.19031682340517,1327.1139360105963]
robot_main , [MAIN_LOOP] 567993632231 | robot_frequency | [216.55076827364368,23,216.8261822064218]
robot_main , [CONTROLLER] 567993632231 | speed_controller | [0.0,0.0,-0.7949480429748023]
