LOGGING STARTED
robot_main , [MAIN_LOOP] 567993630339 | kalman_calibration | [1.2179804475213112,-0.0035149185805913793]
robot_main , [MAIN_LOOP] 567993630393 | robot_frequency | [4234.926263203419,11,220.0]
robot_main , [CONTROLLER] 567993630393 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630393 | stability_controller | [-1.651494541874854e-5,1.1987847151243434,-17.361948876217852]
robot_main , [MAIN_LOOP] 567993630445 | robot_frequency | [2313.2045901227616,21,220.0]
robot_main , [CONTROLLER] 567993630445 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630445 | stability_controller | [-1.651494541874854e-5,1.1750201452694806,-13.275400943158674]
robot_main , [MAIN_LOOP] 567993630499 | robot_frequency | [1587.9228593030464,32,220.0]
robot_main , [CONTROLLER] 567993630499 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630499 | stability_controller | [-1.651494541874854e-5,1.1508101283676573,-12.347328812289875]
robot_main , [MAIN_LOOP] 567993630551 | robot_frequency | [1256.9415881480436,42,220.0]
robot_main , [CONTROLLER] 567993630551 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630551 | stability_controller | [-1.651494541874854e-5,1.1295537909272673,-15.890524599703685]
robot_main , [MAIN_LOOP] 567993630601 | robot_frequency | [1053.9450797554114,52,220.0]
robot_main , [CONTROLLER] 567993630601 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630601 | stability_controller | [-1.651494541874854e-5,1.1223626747931499,-19.95303090126053]
robot_main , [MAIN_LOOP] 567993630652 | robot_frequency | [915.9514016469726,62,220.0]
robot_main , [CONTROLLER] 567993630652 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630652 | stability_controller | [-1.651494541874854e-5,1.1350126327154175,-20.17880351323467]
robot_main , [MAIN_LOOP] 567993630703 | robot_frequency | [816.4049124620867,72,220.0]
robot_main , [CONTROLLER] 567993630703 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630703 | stability_controller | [-1.651494541874854e-5,1.153680533251475,-21.78399052548088]
robot_main , [MAIN_LOOP] 567993630755 | robot_frequency | [740.9046102544451,82,220.0]
robot_main , [CONTROLLER] 567993630755 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630755 | stability_controller | [-1.651494541874854e-5,1.1665622206650155,-19.28803931998143]
robot_main , [MAIN_LOOP] 567993630806 | robot_frequency | [682.0333272917524,92,220.0]
robot_main , [CONTROLLER] 567993630806 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630806 | stability_controller | [-1.651494541874854e-5,1.1673663530510108,-16.315238734477514]
robot_main , [MAIN_LOOP] 567993630858 | robot_frequency | [208.58583286652748,1,642.8800527367789]
robot_main , [CONTROLLER] 567993630858 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630858 | stability_controller | [-1.651494541874854e-5,1.1598425084764838,-17.776040330402772]
robot_main , [MAIN_LOOP] 567993630909 | robot_frequency | [199.8247604259921,11,642.8800527367789]
robot_main , [CONTROLLER] 567993630909 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630909 | stability_controller | [-1.651494541874854e-5,1.1483802193826242,-13.480910342236083]
robot_main , [MAIN_LOOP] 567993630961 | robot_frequency | [197.17076426822527,21,642.8800527367789]
robot_main , [CONTROLLER] 567993630961 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993630961 | stability_controller | [-1.651494541874854e-5,1.1427141911686014,-18.905132676858848]
robot_main , [MAIN_LOOP] 567993631012 | robot_frequency | [197.9757260647673,31,642.8800527367789]
robot_main , [CONTROLLER] 567993631012 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631012 | stability_controller | [-1.651494541874854e-5,1.151064312633056,-21.035565825508385]
robot_main , [MAIN_LOOP] 567993631063 | robot_frequency | [197.9658319662956,41,642.8800527367789]
robot_main , [CONTROLLER] 567993631063 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631063 | stability_controller | [-1.651494541874854e-5,1.1730230568848186,-21.86530484538402]
robot_main , [MAIN_LOOP] 567993631115 | robot_frequency | [197.4103796440899,51,642.8800527367789]
robot_main , [CONTROLLER] 567993631115 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631115 | stability_controller | [-1.651494541874854e-5,1.1835511835603283,-18.740462245003275]
robot_main , [MAIN_LOOP] 567993631167 | robot_frequency | [197.2883531067884,61,642.8800527367789]
robot_main , [CONTROLLER] 567993631167 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631167 | stability_controller | [-1.651494541874854e-5,1.177120713463561,-16.02787050666151]
robot_main , [MAIN_LOOP] 567993631219 | robot_frequency | [197.10234500620317,71,642.8800527367789]
robot_main , [CONTROLLER] 567993631219 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631219 | stability_controller | [-1.651494541874854e-5,1.14727311892341,-14.769646453849495]
robot_main , [MAIN_LOOP] 567993631271 | robot_frequency | [196.95443501683584,81,642.8800527367789]
robot_main , [CONTROLLER] 567993631271 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631271 | stability_controller | [-1.651494541874854e-5,1.1105500799827905,-7.816966629540529]
robot_main , [MAIN_LOOP] 567993631323 | robot_frequency | [196.77990123390916,91,642.8800527367789]
robot_main , [CONTROLLER] 567993631323 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631323 | stability_controller | [-1.651494541874854e-5,1.072597578788447,-13.202037454261625]
robot_main , [MAIN_LOOP] 567993631375 | robot_frequency | [0,0,196.65197920597026]
robot_main , [CONTROLLER] 567993631375 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631375 | stability_controller | [-1.651494541874854e-5,1.028577277484443,11.54497654428614]
robot_main , [MAIN_LOOP] 567993631427 | robot_frequency | [193.2221126087499,10,196.65197920597026]
robot_main , [CONTROLLER] 567993631427 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631427 | stability_controller | [-1.651494541874854e-5,0.942261724150145,-14.199085911683017]
robot_main , [MAIN_LOOP] 567993631480 | robot_frequency | [193.13200051726636,20,196.65197920597026]
robot_main , [CONTROLLER] 567993631480 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631480 | stability_controller | [-1.651494541874854e-5,0.9151570064334946,2.609354789562545]
robot_main , [MAIN_LOOP] 567993631533 | robot_frequency | [193.1615413486517,30,196.65197920597026]
robot_main , [CONTROLLER] 567993631533 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631533 | stability_controller | [-1.651494541874854e-5,0.8405632784804374,74.82114739476008]
robot_main , [MAIN_LOOP] 567993631585 | robot_frequency | [193.35195912380044,40,196.65197920597026]
robot_main , [CONTROLLER] 567993631585 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631585 | stability_controller | [-1.651494541874854e-5,0.697799321848903,62.33845728067237]
robot_main , [MAIN_LOOP] 567993631637 | robot_frequency | [193.68640304941047,50,196.65197920597026]
robot_main , [CONTROLLER] 567993631637 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631637 | stability_controller | [-1.651494541874854e-5,0.38270212871608844,27.444849651659943]
robot_main , [MAIN_LOOP] 567993631688 | robot_frequency | [194.2065259446593,60,196.65197920597026]
robot_main , [CONTROLLER] 567993631688 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631688 | stability_controller | [-1.651494541874854e-5,0.2047655336394272,25.26282477443046]
robot_main , [MAIN_LOOP] 567993631741 | robot_frequency | [194.24299949509967,70,196.65197920597026]
robot_main , [CONTROLLER] 567993631741 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631741 | stability_controller | [-1.651494541874854e-5,0.15592496614650067,-1.1136211840663115]
