LOGGING STARTED
robot_main , [MAIN_LOOP] 567993629750 | kalman_calibration | [-1.2547446067887749,2.1380283336932252e-4]
robot_main , [MAIN_LOOP] 567993629802 | robot_frequency | [3234.464754641794,11,220.0]
robot_main , [CONTROLLER] 567993629802 | speed_controller | [0.0,0.0,99.96875,6.555187361732125]
robot_main , [CONTROLLER] 567993629802 | stability_controller | [6.555187361732125,-11.06930966583974,262.16382995544757]
robot_main , [MAIN_LOOP] 567993629853 | robot_frequency | [1724.0868409281516,22,220.0]
robot_main , [CONTROLLER] 567993629853 | speed_controller | [0.0,0.0,99.96875,6.828602633278817]
robot_main , [CONTROLLER] 567993629853 | stability_controller | [6.828602633278817,-10.72946990526339,281.87528934943685]
robot_main , [MAIN_LOOP] 567993629905 | robot_frequency | [1221.118257831836,33,220.0]
robot_main , [CONTROLLER] 567993629905 | speed_controller | [0.0,0.0,99.96875,7.0981625464335085]
robot_main , [CONTROLLER] 567993629905 | stability_controller | [7.0981625464335085,-10.416674495997757,279.3209212437737]
robot_main , [MAIN_LOOP] 567993629956 | robot_frequency | [969.5705408392764,44,220.0]
robot_main , [CONTROLLER] 567993629956 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993629956 | stability_controller | [7.143015625,-10.122630392033743,209.24886765122542]
robot_main , [MAIN_LOOP] 567993630007 | robot_frequency | [818.3969672040031,55,220.0]
robot_main , [CONTROLLER] 567993630007 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630007 | stability_controller | [7.143015625,-9.840590398395198,241.52869272221065]
robot_main , [MAIN_LOOP] 567993630059 | robot_frequency | [717.4199337212872,66,220.0]
robot_main , [CONTROLLER] 567993630059 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630059 | stability_controller | [7.143015625,-9.57911007436016,226.37324047871823]
robot_main , [MAIN_LOOP] 567993630110 | robot_frequency | [645.8106589769113,77,220.0]
robot_main , [CONTROLLER] 567993630110 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630110 | stability_controller | [7.143015625,-9.333934085668858,194.69024113320506]
robot_main , [MAIN_LOOP] 567993630161 | robot_frequency | [591.829747462394,88,220.0]
robot_main , [CONTROLLER] 567993630161 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630161 | stability_controller | [7.143015625,-9.100047574759495,238.87837896405648]
robot_main , [MAIN_LOOP] 567993630213 | robot_frequency | [549.7935289661143,99,220.0]
robot_main , [CONTROLLER] 567993630213 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630213 | stability_controller | [7.143015625,-8.878255193256738,220.2887537433714]
robot_main , [MAIN_LOOP] 567993630264 | robot_frequency | [215.7542078798288,9,546.4677889406856]
robot_main , [CONTROLLER] 567993630264 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630264 | stability_controller | [7.143015625,-8.669236291671899,202.81875143296693]
robot_main , [MAIN_LOOP] 567993630315 | robot_frequency | [215.1966641396346,20,546.4677889406856]
robot_main , [CONTROLLER] 567993630315 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630315 | stability_controller | [7.143015625,-8.471650525684156,229.63196291184042]
robot_main , [MAIN_LOOP] 567993630366 | robot_frequency | [215.01629058296894,31,546.4677889406856]
robot_main , [CONTROLLER] 567993630366 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630366 | stability_controller | [7.143015625,-8.280849346376039,213.64390338385522]
robot_main , [MAIN_LOOP] 567993630418 | robot_frequency | [214.9287594477957,42,546.4677889406856]
robot_main , [CONTROLLER] 567993630418 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630418 | stability_controller | [7.143015625,-8.096543203481234,186.83751671937478]
robot_main , [MAIN_LOOP] 567993630469 | robot_frequency | [214.86496669149614,53,546.4677889406856]
robot_main , [CONTROLLER] 567993630469 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630469 | stability_controller | [7.143015625,-7.927305352717824,226.03797773626874]
robot_main , [MAIN_LOOP] 567993630521 | robot_frequency | [214.6355495374161,64,546.4677889406856]
robot_main , [CONTROLLER] 567993630521 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630521 | stability_controller | [7.143015625,-7.681212220559097,260.8398977420587]
robot_main , [MAIN_LOOP] 567993630573 | robot_frequency | [214.64638794781652,75,546.4677889406856]
robot_main , [CONTROLLER] 567993630573 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630573 | stability_controller | [7.143015625,-7.550659880499349,284.3528977515674]
robot_main , [MAIN_LOOP] 567993630624 | robot_frequency | [214.31704091481532,86,546.4677889406856]
robot_main , [CONTROLLER] 567993630624 | speed_controller | [0.0,0.0,99.96875,7.143015625]
robot_main , [CONTROLLER] 567993630624 | stability_controller | [7.143015625,-7.630420649002212,227.7228910552332]
robot_main , [MAIN_LOOP] 567993630675 | robot_frequency | [214.44596527243286,97,546.4677889406856]
robot_main , [CONTROLLER] 567993630675 | speed_controller | [0.0,0.0,99.96875,7.143015625]
