LOGGING STARTED
robot_main , [MAIN_LOOP] 567993632262 | kalman_calibration | [1.1307556023715484,0.0012415835966374752]
robot_main , [MAIN_LOOP] 567993632314 | robot_frequency | [3993.0190993114625,11,220.0]
robot_main , [CONTROLLER] 567993632314 | speed_controller | [0.0,0.0,-5.415927596004621e-6]
robot_main , [CONTROLLER] 567993632314 | stability_controller | [-5.415927596004621e-6,1.1133888143960877,-14.97213604135654]
robot_main , [MAIN_LOOP] 567993632365 | robot_frequency | [2104.2341630255146,22,220.0]
robot_main , [CONTROLLER] 567993632365 | speed_controller | [0.0,0.0,-1.0029062197645544e-5]
robot_main , [CONTROLLER] 567993632365 | stability_controller | [-1.0029062197645544e-5,1.108199951107427,-16.016497219968514]
robot_main , [MAIN_LOOP] 567993632417 | robot_frequency | [1473.6868198918914,33,220.0]
robot_main , [CONTROLLER] 567993632417 | speed_controller | [0.0,-0.01961517333984375,-0.001265625995553819]
robot_main , [CONTROLLER] 567993632417 | stability_controller | [-0.001265625995553819,1.1143397362896985,-21.510985918540314]
robot_main , [MAIN_LOOP] 567993632469 | robot_frequency | [1158.8549869286653,44,220.0]
robot_main , [CONTROLLER] 567993632469 | speed_controller | [0.0,0.0,-2.0062488473740815e-5]
robot_main , [CONTROLLER] 567993632469 | stability_controller | [-2.0062488473740815e-5,1.1205786595372453,-19.434045465874462]
robot_main , [MAIN_LOOP] 567993632520 | robot_frequency | [970.1516464753167,55,220.0]
robot_main , [CONTROLLER] 567993632520 | speed_controller | [0.0,0.0,-2.0062488473740815e-5]
robot_main , [CONTROLLER] 567993632520 | stability_controller | [-2.0062488473740815e-5,1.1199123315650736,-19.25858792345565]
robot_main , [MAIN_LOOP] 567993632571 | robot_frequency | [843.9776420604578,66,220.0]
robot_main , [CONTROLLER] 567993632571 | speed_controller | [0.0,0.0,-2.4535717714570638e-5]
robot_main , [CONTROLLER] 567993632571 | stability_controller | [-2.4535717714570638e-5,1.11169170485742,-14.678041795259047]
robot_main , [MAIN_LOOP] 567993632623 | robot_frequency | [753.8518405647332,77,220.0]
robot_main , [CONTROLLER] 567993632623 | speed_controller | [0.0,0.0,-2.4535717714570638e-5]
robot_main , [CONTROLLER] 567993632623 | stability_controller | [-2.4535717714570638e-5,1.097496632028059,-10.730309603032598]
robot_main , [MAIN_LOOP] 567993632674 | robot_frequency | [686.4442572801942,88,220.0]
robot_main , [CONTROLLER] 567993632674 | speed_controller | [0.0,0.0,-4.0764145656794424e-5]
robot_main , [CONTROLLER] 567993632674 | stability_controller | [-4.0764145656794424e-5,1.0796047228842787,-11.274440192721773]
robot_main , [MAIN_LOOP] 567993632726 | robot_frequency | [633.9097473334243,99,220.0]
robot_main , [CONTROLLER] 567993632726 | speed_controller | [0.0,-0.01842498779296875,-0.0012192747211502138]
robot_main , [CONTROLLER] 567993632726 | stability_controller | [-0.0012192747211502138,1.0601253222095943,-19.323241757855932]
robot_main , [MAIN_LOOP] 567993632777 | robot_frequency | [214.75097305578848,9,629.7448052251475]
robot_main , [CONTROLLER] 567993632777 | speed_controller | [0.0,0.0,-6.253719790947798e-5]
robot_main , [CONTROLLER] 567993632777 | stability_controller | [-6.253719790947798e-5,1.0692191699671594,-21.27132637969411]
robot_main , [MAIN_LOOP] 567993632828 | robot_frequency | [214.3214618696837,20,629.7448052251475]
robot_main , [CONTROLLER] 567993632828 | speed_controller | [0.0,0.0,-6.752300360130903e-5]
robot_main , [CONTROLLER] 567993632828 | stability_controller | [-6.752300360130903e-5,1.0824596717043828,-20.540878296036844]
robot_main , [MAIN_LOOP] 567993632883 | robot_frequency | [210.7197797878511,31,629.7448052251475]
robot_main , [CONTROLLER] 567993632883 | speed_controller | [0.0,-0.02513885498046875,-0.001632384715536233]
robot_main , [CONTROLLER] 567993632883 | stability_controller | [-0.001632384715536233,1.118074395870001,-25.3970842010957]
robot_main , [MAIN_LOOP] 567993632935 | robot_frequency | [211.17350905687414,42,629.7448052251475]
robot_main , [CONTROLLER] 567993632935 | speed_controller | [0.0,-0.02503204345703125,-0.0016434055763928938]
robot_main , [CONTROLLER] 567993632935 | stability_controller | [-0.0016434055763928938,1.1497432836774957,-27.09170170228014]
robot_main , [MAIN_LOOP] 567993632986 | robot_frequency | [211.98089205136986,53,629.7448052251475]
robot_main , [CONTROLLER] 567993632986 | speed_controller | [0.0,0.0,-5.387081687140949e-5]
robot_main , [CONTROLLER] 567993632986 | stability_controller | [-5.387081687140949e-5,1.1630141537151786,-18.658728035105014]
robot_main , [MAIN_LOOP] 567993633037 | robot_frequency | [212.50736990946896,64,629.7448052251475]
robot_main , [CONTROLLER] 567993633037 | speed_controller | [0.0,0.0,-7.083062777556393e-5]
robot_main , [CONTROLLER] 567993633037 | stability_controller | [-7.083062777556393e-5,1.128605217213077,-5.332922449776897]
robot_main , [MAIN_LOOP] 567993633088 | robot_frequency | [213.20355047868762,75,629.7448052251475]
robot_main , [CONTROLLER] 567993633088 | speed_controller | [0.0,-0.011386871337890625,-7.966815952812851e-4]
robot_main , [CONTROLLER] 567993633088 | stability_controller | [-7.966815952812851e-4,1.0723570006194971,-8.309312902791758]
robot_main , [MAIN_LOOP] 567993633139 | robot_frequency | [213.40620390317255,86,629.7448052251475]
robot_main , [CONTROLLER] 567993633139 | speed_controller | [0.0,0.0,-7.970292931614153e-5]
robot_main , [CONTROLLER] 567993633139 | stability_controller | [-7.970292931614153e-5,1.0257206039659177,-5.265472119777169]
robot_main , [MAIN_LOOP] 567993633190 | robot_frequency | [213.50408106956422,97,629.7448052251475]
robot_main , [CONTROLLER] 567993633190 | speed_controller | [0.0,0.0,-8.704363965344442e-5]
robot_main , [CONTROLLER] 567993633190 | stability_controller | [-8.704363965344442e-5,1.0054399578999997,-13.608248158127475]
robot_main , [MAIN_LOOP] 567993633241 | robot_frequency | [216.56765543569966,7,213.4113585532185]
robot_main , [CONTROLLER] 567993633241 | speed_controller | [0.0,0.0,-9.148231388635963e-5]
robot_main , [CONTROLLER] 567993633241 | stability_controller | [-9.148231388635963e-5,0.9922147632454474,-13.44383461608099]
robot_main , [MAIN_LOOP] 567993633292 | robot_frequency | [216.37057864559188,18,213.4113585532185]
robot_main , [CONTROLLER] 567993633292 | speed_controller | [0.0,0.0,-9.595307314603474e-5]
robot_main , [CONTROLLER] 567993633292 | stability_controller | [-9.595307314603474e-5,0.9924718529497677,-19.66955131509487]
robot_main , [MAIN_LOOP] 567993633343 | robot_frequency | [216.37479131797923,29,213.4113585532185]
robot_main , [CONTROLLER] 567993633343 | speed_controller | [0.0,0.0,-1.0573044869389036e-4]
robot_main , [CONTROLLER] 567993633343 | stability_controller | [-1.0573044869389036e-4,0.9969448835826574,-15.305452409063154]
robot_main , [MAIN_LOOP] 567993633394 | robot_frequency | [216.32023694634304,40,213.4113585532185]
robot_main , [CONTROLLER] 567993633394 | speed_controller | [0.0,0.0,-1.1511701023110276e-4]
robot_main , [CONTROLLER] 567993633394 | stability_controller | [-1.1511701023110276e-4,1.002641840296181,-15.876666935610045]
robot_main , [MAIN_LOOP] 567993633445 | robot_frequency | [216.48601616478757,51,213.4113585532185]
robot_main , [CONTROLLER] 567993633445 | speed_controller | [0.0,0.0,-8.316762099281049e-5]
robot_main , [CONTROLLER] 567993633445 | stability_controller | [-8.316762099281049e-5,1.0006221191074929,-16.240630063016564]
robot_main , [MAIN_LOOP] 567993633495 | robot_frequency | [216.6235492638289,62,213.4113585532185]
robot_main , [CONTROLLER] 567993633495 | speed_controller | [0.0,0.0,-8.316762099281049e-5]
robot_main , [CONTROLLER] 567993633495 | stability_controller | [-8.316762099281049e-5,0.9958676261280028,-11.578929265824371]
robot_main , [MAIN_LOOP] 567993633546 | robot_frequency | [216.70903134026577,73,213.4113585532185]
robot_main , [CONTROLLER] 567993633546 | speed_controller | [0.0,0.0,-1.2321216520518873e-4]
robot_main , [CONTROLLER] 567993633546 | stability_controller | [-1.2321216520518873e-4,0.9771898668928019,-11.772441425251127]
robot_main , [MAIN_LOOP] 567993633597 | robot_frequency | [216.64761173677735,84,213.4113585532185]
robot_main , [CONTROLLER] 567993633597 | speed_controller | [0.0,0.0,-1.2660732701448295e-4]
robot_main , [CONTROLLER] 567993633597 | stability_controller | [-1.2660732701448295e-4,0.9567114142049934,-10.854350449191166]
robot_main , [MAIN_LOOP] 567993633647 | robot_frequency | [216.71768358167304,95,213.4113585532185]
robot_main , [CONTROLLER] 567993633647 | speed_controller | [0.0,0.0,-1.2660732701448295e-4]
robot_main , [CONTROLLER] 567993633647 | stability_controller | [-1.2660732701448295e-4,0.9343626743428557,-5.045943584479891]
robot_main , [MAIN_LOOP] 567993633698 | robot_frequency | [217.3269749897292,5,216.741745863552]
robot_main , [CONTROLLER] 567993633698 | speed_controller | [0.0,0.0,-2.039945742966438e-4]
robot_main , [CONTROLLER] 567993633698 | stability_controller | [-2.039945742966438e-4,0.9138022179850818,-11.330776526884494]
robot_main , [MAIN_LOOP] 567993633749 | robot_frequency | [217.16169659420686,16,216.741745863552]
robot_main , [CONTROLLER] 567993633749 | speed_controller | [0.0,0.0,-2.076893579891248e-4]
robot_main , [CONTROLLER] 567993633749 | stability_controller | [-2.076893579891248e-4,0.8900381793685017,-2.1060375083416254]
robot_main , [MAIN_LOOP] 567993633799 | robot_frequency | [217.2267179936079,27,216.741745863552]
robot_main , [CONTROLLER] 567993633799 | speed_controller | [0.0,0.0,-2.076893579891248e-4]
robot_main , [CONTROLLER] 567993633799 | stability_controller | [-2.076893579891248e-4,0.8587900190412744,-10.512127486232217]
robot_main , [MAIN_LOOP] 567993633850 | robot_frequency | [217.14277778777648,38,216.741745863552]
robot_main , [CONTROLLER] 567993633850 | speed_controller | [0.0,0.0,-2.076893579891248e-4]
robot_main , [CONTROLLER] 567993633850 | stability_controller | [-2.076893579891248e-4,0.824914895334631,-4.975957735426917]
robot_main , [MAIN_LOOP] 567993633901 | robot_frequency | [216.9727564095482,49,216.741745863552]
robot_main , [CONTROLLER] 567993633901 | speed_controller | [0.0,0.0,-1.4007669574937155e-4]
robot_main , [CONTROLLER] 567993633901 | stability_controller | [-1.4007669574937155e-4,0.7760120947467644,12.046374954381339]
robot_main , [MAIN_LOOP] 567993633952 | robot_frequency | [216.91019566318957,60,216.741745863552]
robot_main , [CONTROLLER] 567993633952 | speed_controller | [0.0,0.0,-1.4553245593094743e-4]
robot_main , [CONTROLLER] 567993633952 | stability_controller | [-1.4553245593094743e-4,0.7436104005440017,-11.710571436669433]
robot_main , [MAIN_LOOP] 567993634003 | robot_frequency | [216.59531438112742,71,216.741745863552]
robot_main , [CONTROLLER] 567993634003 | speed_controller | [0.0,0.0,-1.4869507709579466e-4]
robot_main , [CONTROLLER] 567993634003 | stability_controller | [-1.4869507709579466e-4,0.7404179325190037,-5.541106811773233]
robot_main , [MAIN_LOOP] 567993634054 | robot_frequency | [216.62304336360958,82,216.741745863552]
robot_main , [CONTROLLER] 567993634054 | speed_controller | [0.0,0.0,-2.2084174609053164e-4]
robot_main , [CONTROLLER] 567993634054 | stability_controller | [-2.2084174609053164e-4,0.792258411609292,-18.16926930159034]
robot_main , [MAIN_LOOP] 567993634104 | robot_frequency | [216.67623253998002,93,216.741745863552]
robot_main , [CONTROLLER] 567993634104 | speed_controller | [0.0,0.0,-2.0639573138022982e-4]
robot_main , [CONTROLLER] 567993634104 | stability_controller | [-2.0639573138022982e-4,0.8327398161314545,-28.357746433931382]
robot_main , [MAIN_LOOP] 567993634155 | robot_frequency | [217.29662747961288,3,216.70909749510193]
robot_main , [CONTROLLER] 567993634155 | speed_controller | [0.0,0.0,-2.1586171702428557e-4]
robot_main , [CONTROLLER] 567993634155 | stability_controller | [-2.1586171702428557e-4,0.9122674515969603,-35.23638334920195]
robot_main , [MAIN_LOOP] 567993634206 | robot_frequency | [217.25679796227482,14,216.70909749510193]
robot_main , [CONTROLLER] 567993634206 | speed_controller | [0.0,0.0,-2.1586171702428557e-4]
robot_main , [CONTROLLER] 567993634206 | stability_controller | [-2.1586171702428557e-4,1.0198042117167412,-32.676635612114126]
robot_main , [MAIN_LOOP] 567993634256 | robot_frequency | [217.29216512521802,25,216.70909749510193]
robot_main , [CONTROLLER] 567993634256 | speed_controller | [0.0,0.0,-2.5756954231220065e-4]
robot_main , [CONTROLLER] 567993634256 | stability_controller | [-2.5756954231220065e-4,1.1427251427530363,-39.58276834555795]
robot_main , [MAIN_LOOP] 567993634307 | robot_frequency | [217.29234425914908,36,216.70909749510193]
robot_main , [CONTROLLER] 567993634307 | speed_controller | [0.0,0.0,-2.678468990991014e-4]
robot_main , [CONTROLLER] 567993634307 | stability_controller | [-2.678468990991014e-4,1.253554199350132,-47.9946983542206]
robot_main , [MAIN_LOOP] 567993634358 | robot_frequency | [217.25826003890262,47,216.70909749510193]
robot_main , [CONTROLLER] 567993634358 | speed_controller | [0.0,0.0,-3.352196518200863e-4]
robot_main , [CONTROLLER] 567993634358 | stability_controller | [-3.352196518200863e-4,1.3287238626955735,-32.846455388348915]
robot_main , [MAIN_LOOP] 567993634408 | robot_frequency | [217.10990486967168,58,216.70909749510193]
robot_main , [CONTROLLER] 567993634408 | speed_controller | [0.0,0.0,-3.4301445595629685e-4]
robot_main , [CONTROLLER] 567993634408 | stability_controller | [-3.4301445595629685e-4,1.3907934810438143,-36.53642591529449]
robot_main , [MAIN_LOOP] 567993634459 | robot_frequency | [217.12615448744035,69,216.70909749510193]
robot_main , [CONTROLLER] 567993634459 | speed_controller | [0.0,0.0,-3.4301445595629685e-4]
robot_main , [CONTROLLER] 567993634459 | stability_controller | [-3.4301445595629685e-4,1.432436420145111,-29.33619742219563]
robot_main , [MAIN_LOOP] 567993634510 | robot_frequency | [217.06415564515714,80,216.70909749510193]
robot_main , [CONTROLLER] 567993634510 | speed_controller | [0.0,0.0,-3.4301445595629685e-4]
robot_main , [CONTROLLER] 567993634510 | stability_controller | [-3.4301445595629685e-4,1.4688522959734782,-25.149328510470234]
robot_main , [MAIN_LOOP] 567993634560 | robot_frequency | [217.09904861681156,91,216.70909749510193]
robot_main , [CONTROLLER] 567993634560 | speed_controller | [0.0,0.0,-3.4301445595629685e-4]
robot_main , [CONTROLLER] 567993634560 | stability_controller | [-3.4301445595629685e-4,1.5159734101118283,-33.55877069119441]
robot_main , [MAIN_LOOP] 567993634611 | robot_frequency | [216.99512608603516,1,217.06247780682085]
robot_main , [CONTROLLER] 567993634611 | speed_controller | [0.0,0.0,-3.604548869872879e-4]
robot_main , [CONTROLLER] 567993634611 | stability_controller | [-3.604548869872879e-4,1.5727661765290206,-36.30856464897627]
robot_main , [MAIN_LOOP] 567993634662 | robot_frequency | [217.1881465301664,12,217.06247780682085]
robot_main , [CONTROLLER] 567993634662 | speed_controller | [0.0,0.0,-3.7140892885618727e-4]
robot_main , [CONTROLLER] 567993634662 | stability_controller | [-3.7140892885618727e-4,1.6321821536553829,-44.49361604481277]
robot_main , [MAIN_LOOP] 567993634713 | robot_frequency | [216.72229941276984,23,217.06247780682085]
