LOGGING STARTED
robot_main , [BALANCING_ROBOT] 567993617807 | startup
robot_main , [BALANCING_ROBOT] 567993619866 | robot_main
robot_main , [BALANCING_ROBOT] 567993619866 | robot_main
robot_main , [MAIN_LOOP] 567993621849 | kalman_calibration | [2.667570958920763,-0.04137940037029536]
robot_main , [MAIN_LOOP] 567993621850 | done_calibrating
robot_main , [MAIN_LOOP] 567993621853 | robot_ready
robot_main , [MAIN_LOOP] 567993622354 | robot_frequency | [235.1970859616761,15,301.7101339041615]
robot_main , [MAIN_LOOP] 567993622355 | kalman_comparison | [2.0949981018967954,2.309874346439485]
robot_main , [CONTROLLER] 567993622356 | stability_controller | [1.2873235591541744e-6,2.0949981018967954,-2.478356202274867]
robot_main , [CONTROLLER] 567993622356 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993622857 | robot_frequency | [236.29744957692364,32,235.2717497042594]
robot_main , [MAIN_LOOP] 567993622858 | kalman_comparison | [1.4761524001236783,4.187973973535329]
robot_main , [CONTROLLER] 567993622859 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993622859 | stability_controller | [1.2873235591541744e-6,1.4761524001236783,-12.39687527917593]
robot_main , [MAIN_LOOP] 567993623360 | robot_frequency | [237.41267225253927,50,236.56024358795207]
robot_main , [CONTROLLER] 567993623364 | stability_controller | [1.2873235591541744e-6,0.6898285228838167,17.583866113522557]
robot_main , [MAIN_LOOP] 567993623364 | kalman_comparison_predict_only | [0.6898285228838167]
robot_main , [CONTROLLER] 567993623364 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993623863 | robot_frequency | [240.90862470564232,70,239.58830303844536]
robot_main , [MAIN_LOOP] 567993623866 | kalman_comparison_predict_only | [0.1618493735301258]
robot_main , [CONTROLLER] 567993623867 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993623867 | stability_controller | [1.2873235591541744e-6,0.1618493735301258,22.255072524983504]
robot_main , [MAIN_LOOP] 567993624363 | robot_frequency | [242.19150946148466,90,241.20466616117483]
robot_main , [MAIN_LOOP] 567993624367 | kalman_comparison_predict_only | [-0.4594045674861236]
robot_main , [CONTROLLER] 567993624368 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993624368 | stability_controller | [1.2873235591541744e-6,-0.4594045674861236,35.063712024648645]
robot_main , [MAIN_LOOP] 567993624866 | robot_frequency | [241.48397699041746,8,239.89576912778801]
robot_main , [CONTROLLER] 567993624870 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993624870 | kalman_comparison_predict_only | [-0.7297379974642751]
robot_main , [CONTROLLER] 567993624871 | stability_controller | [1.2873235591541744e-6,-0.7297379974642751,38.00883008067175]
robot_main , [MAIN_LOOP] 567993625368 | robot_frequency | [242.87217397135382,28,241.3577406328635]
robot_main , [MAIN_LOOP] 567993625371 | kalman_comparison_predict_only | [-0.9309011631885654]
robot_main , [CONTROLLER] 567993625372 | stability_controller | [1.2873235591541744e-6,-0.9309011631885654,36.677490657375195]
robot_main , [CONTROLLER] 567993625372 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993625869 | robot_frequency | [243.4697462694679,46,237.054877021673]
robot_main , [MAIN_LOOP] 567993625871 | kalman_comparison | [-1.7466102194182633,1.3135629748370006]
robot_main , [CONTROLLER] 567993625871 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993625872 | stability_controller | [1.2873235591541744e-6,-1.7466102194182633,49.05538013005784]
robot_main , [MAIN_LOOP] 567993626373 | robot_frequency | [242.54547946299098,67,242.7887487989214]
robot_main , [MAIN_LOOP] 567993626375 | kalman_comparison_predict_only | [-2.841340347510646]
robot_main , [CONTROLLER] 567993626377 | stability_controller | [1.2873235591541744e-6,-2.841340347510646,92.86043374492928]
robot_main , [CONTROLLER] 567993626377 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993626875 | robot_frequency | [239.09926021554367,86,242.32216195681923]
robot_main , [MAIN_LOOP] 567993626879 | kalman_comparison | [-3.061238856941682,1.3936690406440535]
robot_main , [CONTROLLER] 567993626879 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993626880 | stability_controller | [1.2873235591541744e-6,-3.061238856941682,35.24300928378138]
